year,origin_location_code,asylum_location_code,age_range,population
2008,AFG,KAZ,all,1042
2008,AFG,KGZ,0-4,41
2008,AFG,KGZ,12-17,96
2008,AFG,KGZ,18-59,443
2008,AFG,KGZ,5-11,97
2008,AFG,KGZ,60+,15
2008,AFG,KGZ,all,1384
2008,AFG,KWT,0-4,0
2008,AFG,KWT,12-17,25
2008,AFG,KWT,18-59,1764
2008,AFG,KWT,5-11,6
2008,AFG,KWT,60+,0
2008,AFG,KWT,all,3590
2008,AFG,LBN,0-4,0
2008,AFG,LBN,12-17,6
2008,AFG,LBN,18-59,8
2008,AFG,LBN,5-11,0
2008,AFG,LBN,60+,0
2008,AFG,LBN,all,28
2008,AFG,LKA,0-4,0
2008,AFG,LKA,12-17,0
2008,AFG,LKA,18-59,5
2008,AFG,LKA,5-11,5
2008,AFG,LKA,60+,0
2008,AFG,LKA,all,20
2008,AFG,LTU,0-4,0
2008,AFG,LTU,12-17,0
2008,AFG,LTU,18-59,0
2008,AFG,LTU,5-11,0
2008,AFG,LTU,60+,0
2008,AFG,LTU,all,97
2008,AFG,LVA,0-4,0
2008,AFG,LVA,12-17,0
2008,AFG,LVA,18-59,0
2008,AFG,LVA,5-11,8
2008,AFG,LVA,60+,0
2008,AFG,LVA,all,16
2008,AFG,MDA,0-4,0
2008,AFG,MDA,12-17,5
2008,AFG,MDA,18-59,5
2008,AFG,MDA,5-11,0
2008,AFG,MDA,60+,0
2008,AFG,MDA,all,20
2008,AFG,MLT,0-4,0
2008,AFG,MLT,12-17,0
2008,AFG,MLT,18-59,0
2008,AFG,MLT,5-11,0
2008,AFG,MLT,60+,0
2008,AFG,MLT,all,8
2008,AFG,MYS,0-4,52
2008,AFG,MYS,12-17,85
2008,AFG,MYS,18-59,302
2008,AFG,MYS,5-11,88
2008,AFG,MYS,60+,0
2008,AFG,MYS,all,1054
2008,AFG,NLD,0-4,0
2008,AFG,NLD,12-17,0
2008,AFG,NLD,18-59,0
2008,AFG,NLD,5-11,0
2008,AFG,NLD,60+,0
2008,AFG,NLD,all,13477
2008,AFG,NOR,0-4,0
2008,AFG,NOR,12-17,0
2008,AFG,NOR,18-59,0
2008,AFG,NOR,5-11,0
2008,AFG,NOR,60+,0
2008,AFG,NOR,all,5257
2008,AFG,NZL,0-4,0
2008,AFG,NZL,12-17,0
2008,AFG,NZL,18-59,0
2008,AFG,NZL,5-11,0
2008,AFG,NZL,60+,0
2008,AFG,NZL,all,172
2008,AFG,PAK,0-4,68010
2008,AFG,PAK,12-17,126461
2008,AFG,PAK,18-59,345817
2008,AFG,PAK,5-11,198833
2008,AFG,PAK,60+,28349
2008,AFG,PAK,all,2550155
2008,AFG,POL,0-4,0
2008,AFG,POL,12-17,0
2008,AFG,POL,18-59,0
2008,AFG,POL,5-11,0
2008,AFG,POL,60+,0
2008,AFG,POL,all,73
2008,AFG,PRT,0-4,0
2008,AFG,PRT,12-17,0
2008,AFG,PRT,18-59,0
2008,AFG,PRT,5-11,0
2008,AFG,PRT,60+,0
2008,AFG,PRT,all,8
2008,AFG,ROU,0-4,0
2008,AFG,ROU,12-17,0
2008,AFG,ROU,18-59,0
2008,AFG,ROU,5-11,0
2008,AFG,ROU,60+,0
2008,AFG,ROU,all,230
2008,AFG,RUS,0-4,0
2008,AFG,RUS,12-17,0
2008,AFG,RUS,18-59,0
2008,AFG,RUS,5-11,0
2008,AFG,RUS,60+,0
2008,AFG,RUS,all,3206
2008,AFG,SAU,0-4,0
2008,AFG,SAU,12-17,0
2008,AFG,SAU,18-59,5
2008,AFG,SAU,5-11,0
2008,AFG,SAU,60+,0
2008,AFG,SAU,all,10
2008,AFG,SVK,0-4,0
2008,AFG,SVK,12-17,0
2008,AFG,SVK,18-59,9
2008,AFG,SVK,5-11,9
2008,AFG,SVK,60+,0
2008,AFG,SVK,all,94
2008,AFG,SVN,0-4,0
2008,AFG,SVN,12-17,0
2008,AFG,SVN,18-59,0
2008,AFG,SVN,5-11,0
2008,AFG,SVN,60+,0
2008,AFG,SVN,all,9
2008,AFG,SWE,0-4,0
2008,AFG,SWE,12-17,0
2008,AFG,SWE,18-59,0
2008,AFG,SWE,5-11,0
2008,AFG,SWE,60+,0
2008,AFG,SWE,all,3550
2008,AFG,SYR,0-4,83
2008,AFG,SYR,12-17,169
2008,AFG,SYR,18-59,411
2008,AFG,SYR,5-11,116
2008,AFG,SYR,60+,27
2008,AFG,SYR,all,1612
2008,AFG,TJK,0-4,5
2008,AFG,TJK,12-17,5
2008,AFG,TJK,18-59,16
2008,AFG,TJK,5-11,0
2008,AFG,TJK,60+,0
2008,AFG,TJK,all,1857
2008,AFG,TKM,0-4,0
2008,AFG,TKM,12-17,7
2008,AFG,TKM,18-59,33
2008,AFG,TKM,5-11,6
2008,AFG,TKM,60+,0
2008,AFG,TKM,all,92
2008,AFG,TUR,0-4,396
2008,AFG,TUR,12-17,610
2008,AFG,TUR,18-59,1583
2008,AFG,TUR,5-11,541
2008,AFG,TUR,60+,26
2008,AFG,TUR,all,6319
2008,AFG,UKR,0-4,15
2008,AFG,UKR,12-17,261
2008,AFG,UKR,18-59,967
2008,AFG,UKR,5-11,7
2008,AFG,UKR,60+,35
2008,AFG,UKR,all,2895
2008,AFG,USA,0-4,0
2008,AFG,USA,12-17,0
2008,AFG,USA,18-59,0
2008,AFG,USA,5-11,0
2008,AFG,USA,60+,0
2008,AFG,USA,all,2164
2008,AFG,UZB,0-4,56
2008,AFG,UZB,12-17,105
2008,AFG,UZB,18-59,483
2008,AFG,UZB,5-11,144
2008,AFG,UZB,60+,21
2008,AFG,UZB,all,1618
2008,AFG,ZAF,0-4,0
2008,AFG,ZAF,12-17,0
2008,AFG,ZAF,18-59,0
2008,AFG,ZAF,5-11,0
2008,AFG,ZAF,60+,0
2008,AFG,ZAF,all,18
2008,IRN,AFG,0-4,0
2008,IRN,AFG,12-17,5
2008,IRN,AFG,18-59,30
2008,IRN,AFG,5-11,0
2008,IRN,AFG,60+,0
2008,IRN,AFG,all,70
2008,IRQ,AFG,0-4,7
2008,IRQ,AFG,12-17,0
2008,IRQ,AFG,18-59,0
2008,IRQ,AFG,5-11,0
2008,IRQ,AFG,60+,0
2008,IRQ,AFG,all,14
2008,PAK,AFG,0-4,0
2008,PAK,AFG,12-17,0
2008,PAK,AFG,18-59,5
2008,PAK,AFG,5-11,0
2008,PAK,AFG,60+,0
2008,PAK,AFG,all,10
2009,AFG,ARE,0-4,5
2009,AFG,ARE,12-17,0
2009,AFG,ARE,18-59,0
2009,AFG,ARE,5-11,0
2009,AFG,ARE,60+,0
2009,AFG,ARE,all,10
2009,AFG,AUS,0-4,0
2009,AFG,AUS,12-17,0
2009,AFG,AUS,18-59,0
2009,AFG,AUS,5-11,0
2009,AFG,AUS,60+,0
2009,AFG,AUS,all,5718
2009,AFG,AUT,0-4,0
2009,AFG,AUT,12-17,0
2009,AFG,AUT,18-59,0
2009,AFG,AUT,5-11,0
2009,AFG,AUT,60+,0
2009,AFG,AUT,all,9209
2009,AFG,AZE,0-4,47
2009,AFG,AZE,12-17,61
2009,AFG,AZE,18-59,450
2009,AFG,AZE,5-11,87
2009,AFG,AZE,60+,17
2009,AFG,AZE,all,1334
2009,AFG,BEL,0-4,0
2009,AFG,BEL,12-17,0
2009,AFG,BEL,18-59,0
2009,AFG,BEL,5-11,0
2009,AFG,BEL,60+,0
2009,AFG,BEL,all,542
2009,AFG,BGR,0-4,0
2009,AFG,BGR,12-17,5
2009,AFG,BGR,18-59,38
2009,AFG,BGR,5-11,5
2009,AFG,BGR,60+,10
2009,AFG,BGR,all,2485
2009,AFG,BLR,0-4,30
2009,AFG,BLR,12-17,59
2009,AFG,BLR,18-59,286
2009,AFG,BLR,5-11,76
2009,AFG,BLR,60+,13
2009,AFG,BLR,all,933
2009,AFG,BRA,0-4,0
2009,AFG,BRA,12-17,0
2009,AFG,BRA,18-59,12
2009,AFG,BRA,5-11,0
2009,AFG,BRA,60+,0
2009,AFG,BRA,all,24
2009,AFG,CAN,0-4,75
2009,AFG,CAN,12-17,66
2009,AFG,CAN,18-59,435
2009,AFG,CAN,5-11,90
2009,AFG,CAN,60+,24
2009,AFG,CAN,all,4395
2009,AFG,CHE,0-4,132
2009,AFG,CHE,12-17,218
2009,AFG,CHE,18-59,1179
2009,AFG,CHE,5-11,194
2009,AFG,CHE,60+,49
2009,AFG,CHE,all,5104
2009,AFG,CHN,0-4,0
2009,AFG,CHN,12-17,7
2009,AFG,CHN,18-59,0
2009,AFG,CHN,5-11,0
2009,AFG,CHN,60+,0
2009,AFG,CHN,all,14
2009,AFG,CIV,0-4,0
2009,AFG,CIV,12-17,0
2009,AFG,CIV,18-59,17
2009,AFG,CIV,5-11,0
2009,AFG,CIV,60+,0
2009,AFG,CIV,all,34
2009,AFG,CYM,0-4,0
2009,AFG,CYM,12-17,0
2009,AFG,CYM,18-59,5
2009,AFG,CYM,5-11,0
2009,AFG,CYM,60+,0
2009,AFG,CYM,all,10
2009,AFG,CYP,0-4,0
2009,AFG,CYP,12-17,0
2009,AFG,CYP,18-59,0
2009,AFG,CYP,5-11,0
2009,AFG,CYP,60+,0
2009,AFG,CYP,all,52
2009,AFG,CZE,0-4,0
2009,AFG,CZE,12-17,0
2009,AFG,CZE,18-59,0
2009,AFG,CZE,5-11,0
2009,AFG,CZE,60+,0
2009,AFG,CZE,all,232
2009,AFG,DEU,0-4,876
2009,AFG,DEU,12-17,4809
2009,AFG,DEU,18-59,21587
2009,AFG,DEU,5-11,3035
2009,AFG,DEU,60+,3904
2009,AFG,DEU,all,69393
2009,AFG,DNK,0-4,0
2009,AFG,DNK,12-17,0
2009,AFG,DNK,18-59,0
2009,AFG,DNK,5-11,0
2009,AFG,DNK,60+,0
2009,AFG,DNK,all,5354
2009,AFG,ECU,0-4,0
2009,AFG,ECU,12-17,24
2009,AFG,ECU,18-59,94
2009,AFG,ECU,5-11,6
2009,AFG,ECU,60+,5
2009,AFG,ECU,all,258
2009,AFG,ESP,0-4,0
2009,AFG,ESP,12-17,0
2009,AFG,ESP,18-59,0
2009,AFG,ESP,5-11,0
2009,AFG,ESP,60+,0
2009,AFG,ESP,all,70
2009,AFG,EST,0-4,0
2009,AFG,EST,12-17,0
2009,AFG,EST,18-59,15
2009,AFG,EST,5-11,0
2009,AFG,EST,60+,0
2009,AFG,EST,all,30
2009,AFG,FIN,0-4,0
2009,AFG,FIN,12-17,0
2009,AFG,FIN,18-59,0
2009,AFG,FIN,5-11,0
2009,AFG,FIN,60+,0
2009,AFG,FIN,all,1002
2009,AFG,FJI,0-4,0
2009,AFG,FJI,12-17,0
2009,AFG,FJI,18-59,5
2009,AFG,FJI,5-11,0
2009,AFG,FJI,60+,0
2009,AFG,FJI,all,10
2009,AFG,FRA,0-4,0
2009,AFG,FRA,12-17,0
2009,AFG,FRA,18-59,0
2009,AFG,FRA,5-11,0
2009,AFG,FRA,60+,0
2009,AFG,FRA,all,1567
2009,AFG,GBR,0-4,0
2009,AFG,GBR,12-17,0
2009,AFG,GBR,18-59,0
2009,AFG,GBR,5-11,0
2009,AFG,GBR,60+,0
2009,AFG,GBR,all,23658
2009,AFG,GRC,0-4,0
2009,AFG,GRC,12-17,0
2009,AFG,GRC,18-59,0
2009,AFG,GRC,5-11,0
2009,AFG,GRC,60+,0
2009,AFG,GRC,all,148
2009,AFG,HKG,0-4,5
2009,AFG,HKG,12-17,0
2009,AFG,HKG,18-59,10
2009,AFG,HKG,5-11,0
2009,AFG,HKG,60+,0
2009,AFG,HKG,all,30
2009,AFG,HRV,0-4,0
2009,AFG,HRV,12-17,9
2009,AFG,HRV,18-59,5
2009,AFG,HRV,5-11,0
2009,AFG,HRV,60+,0
2009,AFG,HRV,all,28
2009,AFG,HUN,0-4,5
2009,AFG,HUN,12-17,280
2009,AFG,HUN,18-59,1575
2009,AFG,HUN,5-11,24
2009,AFG,HUN,60+,23
2009,AFG,HUN,all,4012
2009,AFG,IDN,0-4,26
2009,AFG,IDN,12-17,230
2009,AFG,IDN,18-59,1318
2009,AFG,IDN,5-11,52
2009,AFG,IDN,60+,5
2009,AFG,IDN,all,3262
2009,AFG,IND,0-4,644
2009,AFG,IND,12-17,1628
2009,AFG,IND,18-59,5898
2009,AFG,IND,5-11,1083
2009,AFG,IND,60+,610
2009,AFG,IND,all,19726
2009,AFG,IRL,0-4,0
2009,AFG,IRL,12-17,0
2009,AFG,IRL,18-59,0
2009,AFG,IRL,5-11,0
2009,AFG,IRL,60+,0
2009,AFG,IRL,all,204
2009,AFG,IRN,0-4,40
2009,AFG,IRN,12-17,211813
2009,AFG,IRN,18-59,599749
2009,AFG,IRN,5-11,171761
2009,AFG,IRN,60+,40849
2009,AFG,IRN,all,2048424
2009,AFG,ISL,0-4,0
2009,AFG,ISL,12-17,0
2009,AFG,ISL,18-59,5
2009,AFG,ISL,5-11,0
2009,AFG,ISL,60+,0
2009,AFG,ISL,all,10
2009,AFG,ITA,0-4,0
2009,AFG,ITA,12-17,0
2009,AFG,ITA,18-59,0
2009,AFG,ITA,5-11,0
2009,AFG,ITA,60+,0
2009,AFG,ITA,all,3039
2009,AFG,JOR,0-4,0
2009,AFG,JOR,12-17,5
2009,AFG,JOR,18-59,13
2009,AFG,JOR,5-11,7
2009,AFG,JOR,60+,0
2009,AFG,JOR,all,50
2009,AFG,JPN,0-4,0
2009,AFG,JPN,12-17,0
2009,AFG,JPN,18-59,0
2009,AFG,JPN,5-11,0
2009,AFG,JPN,60+,0
2009,AFG,JPN,all,114
2009,AFG,KAZ,0-4,10
2009,AFG,KAZ,12-17,70
2009,AFG,KAZ,18-59,308
2009,AFG,KAZ,5-11,30
2009,AFG,KAZ,60+,11
2009,AFG,KAZ,all,878
2009,AFG,KGZ,0-4,45
2009,AFG,KGZ,12-17,79
2009,AFG,KGZ,18-59,428
2009,AFG,KGZ,5-11,73
2009,AFG,KGZ,60+,16
2009,AFG,KGZ,all,1282
2009,AFG,KOR,0-4,0
2009,AFG,KOR,12-17,0
2009,AFG,KOR,18-59,9
2009,AFG,KOR,5-11,0
2009,AFG,KOR,60+,0
2009,AFG,KOR,all,18
2009,AFG,KWT,0-4,0
2009,AFG,KWT,12-17,27
2009,AFG,KWT,18-59,1767
2009,AFG,KWT,5-11,6
2009,AFG,KWT,60+,0
2009,AFG,KWT,all,3600
2009,AFG,LBN,0-4,0
2009,AFG,LBN,12-17,0
2009,AFG,LBN,18-59,14
2009,AFG,LBN,5-11,0
2009,AFG,LBN,60+,0
2009,AFG,LBN,all,28
2009,AFG,LKA,0-4,0
2009,AFG,LKA,12-17,0
2009,AFG,LKA,18-59,0
2009,AFG,LKA,5-11,0
2009,AFG,LKA,60+,0
2009,AFG,LKA,all,5
2009,AFG,LTU,0-4,0
2009,AFG,LTU,12-17,5
2009,AFG,LTU,18-59,5
2009,AFG,LTU,5-11,0
2009,AFG,LTU,60+,0
2009,AFG,LTU,all,115
2009,AFG,LUX,0-4,0
2009,AFG,LUX,12-17,0
2009,AFG,LUX,18-59,0
2009,AFG,LUX,5-11,0
2009,AFG,LUX,60+,0
2009,AFG,LUX,all,11
2009,AFG,LVA,0-4,0
2009,AFG,LVA,12-17,14
2009,AFG,LVA,18-59,5
2009,AFG,LVA,5-11,6
2009,AFG,LVA,60+,0
2009,AFG,LVA,all,50
2009,AFG,MDA,0-4,0
2009,AFG,MDA,12-17,0
2009,AFG,MDA,18-59,9
2009,AFG,MDA,5-11,7
2009,AFG,MDA,60+,0
2009,AFG,MDA,all,32
2009,AFG,MLT,0-4,0
2009,AFG,MLT,12-17,0
2009,AFG,MLT,18-59,0
2009,AFG,MLT,5-11,0
2009,AFG,MLT,60+,0
2009,AFG,MLT,all,8
2009,AFG,MYS,0-4,59
2009,AFG,MYS,12-17,80
2009,AFG,MYS,18-59,317
2009,AFG,MYS,5-11,83
2009,AFG,MYS,60+,5
2009,AFG,MYS,all,1088
2009,AFG,NLD,0-4,0
2009,AFG,NLD,12-17,0
2009,AFG,NLD,18-59,0
2009,AFG,NLD,5-11,0
2009,AFG,NLD,60+,0
2009,AFG,NLD,all,10987
2009,AFG,NOR,0-4,0
2009,AFG,NOR,12-17,0
2009,AFG,NOR,18-59,0
2009,AFG,NOR,5-11,0
2009,AFG,NOR,60+,0
2009,AFG,NOR,all,7666
2009,AFG,NZL,0-4,0
2009,AFG,NZL,12-17,0
2009,AFG,NZL,18-59,0
2009,AFG,NZL,5-11,0
2009,AFG,NZL,60+,0
2009,AFG,NZL,all,174
2009,AFG,PAK,0-4,46090
2009,AFG,PAK,12-17,123213
2009,AFG,PAK,18-59,357272
2009,AFG,PAK,5-11,205753
2009,AFG,PAK,60+,28477
2009,AFG,PAK,all,2502929
2009,AFG,PAN,0-4,0
2009,AFG,PAN,12-17,0
2009,AFG,PAN,18-59,5
2009,AFG,PAN,5-11,0
2009,AFG,PAN,60+,0
2009,AFG,PAN,all,10
2009,AFG,POL,0-4,0
2009,AFG,POL,12-17,0
2009,AFG,POL,18-59,0
2009,AFG,POL,5-11,0
2009,AFG,POL,60+,0
2009,AFG,POL,all,77
2009,AFG,PRT,0-4,0
2009,AFG,PRT,12-17,0
2009,AFG,PRT,18-59,0
2009,AFG,PRT,5-11,0
2009,AFG,PRT,60+,0
2009,AFG,PRT,all,7
2009,AFG,ROU,0-4,0
2009,AFG,ROU,12-17,0
2009,AFG,ROU,18-59,0
2009,AFG,ROU,5-11,0
2009,AFG,ROU,60+,0
2009,AFG,ROU,all,129
2009,AFG,RUS,0-4,0
2009,AFG,RUS,12-17,0
2009,AFG,RUS,18-59,0
2009,AFG,RUS,5-11,0
2009,AFG,RUS,60+,0
2009,AFG,RUS,all,2725
2009,AFG,SRB,0-4,0
2009,AFG,SRB,12-17,0
2009,AFG,SRB,18-59,15
2009,AFG,SRB,5-11,0
2009,AFG,SRB,60+,0
2009,AFG,SRB,all,30
2009,AFG,SVK,0-4,0
2009,AFG,SVK,12-17,0
2009,AFG,SVK,18-59,0
2009,AFG,SVK,5-11,0
2009,AFG,SVK,60+,0
2009,AFG,SVK,all,101
2009,AFG,SVN,0-4,0
2009,AFG,SVN,12-17,0
2009,AFG,SVN,18-59,0
2009,AFG,SVN,5-11,0
2009,AFG,SVN,60+,0
2009,AFG,SVN,all,12
2009,AFG,SWE,0-4,0
2009,AFG,SWE,12-17,0
2009,AFG,SWE,18-59,0
2009,AFG,SWE,5-11,0
2009,AFG,SWE,60+,0
2009,AFG,SWE,all,4698
2009,AFG,SYR,0-4,134
2009,AFG,SYR,12-17,267
2009,AFG,SYR,18-59,730
2009,AFG,SYR,5-11,247
2009,AFG,SYR,60+,52
2009,AFG,SYR,all,2860
2009,AFG,TJK,0-4,0
2009,AFG,TJK,12-17,13
2009,AFG,TJK,18-59,29
2009,AFG,TJK,5-11,13
2009,AFG,TJK,60+,0
2009,AFG,TJK,all,4238
2009,AFG,TKM,0-4,0
2009,AFG,TKM,12-17,6
2009,AFG,TKM,18-59,23
2009,AFG,TKM,5-11,0
2009,AFG,TKM,60+,0
2009,AFG,TKM,all,58
2009,AFG,TUR,0-4,231
2009,AFG,TUR,12-17,529
2009,AFG,TUR,18-59,1701
2009,AFG,TUR,5-11,445
2009,AFG,TUR,60+,30
2009,AFG,TUR,all,5872
2009,AFG,UKR,0-4,16
2009,AFG,UKR,12-17,341
2009,AFG,UKR,18-59,1203
2009,AFG,UKR,5-11,23
2009,AFG,UKR,60+,35
2009,AFG,UKR,all,3704
2009,AFG,USA,0-4,0
2009,AFG,USA,12-17,0
2009,AFG,USA,18-59,0
2009,AFG,USA,5-11,0
2009,AFG,USA,60+,0
2009,AFG,USA,all,1771
2009,AFG,UZB,0-4,50
2009,AFG,UZB,12-17,86
2009,AFG,UZB,18-59,335
2009,AFG,UZB,5-11,59
2009,AFG,UZB,60+,16
2009,AFG,UZB,all,1092
2009,AFG,ZAF,0-4,0
2009,AFG,ZAF,12-17,0
2009,AFG,ZAF,18-59,0
2009,AFG,ZAF,5-11,0
2009,AFG,ZAF,60+,0
2009,AFG,ZAF,all,18
2009,IRN,AFG,0-4,0
2009,IRN,AFG,12-17,5
2009,IRN,AFG,18-59,29
2009,IRN,AFG,5-11,5
2009,IRN,AFG,60+,0
2009,IRN,AFG,all,78
2009,IRQ,AFG,0-4,6
2009,IRQ,AFG,12-17,0
2009,IRQ,AFG,18-59,0
2009,IRQ,AFG,5-11,0
2009,IRQ,AFG,60+,0
2009,IRQ,AFG,all,12
2009,PAK,AFG,0-4,0
2009,PAK,AFG,12-17,0
2009,PAK,AFG,18-59,5
2009,PAK,AFG,5-11,0
2009,PAK,AFG,60+,0
2009,PAK,AFG,all,10
2010,AFG,AFG,0-4,57124
2010,AFG,AFG,12-17,145711
2010,AFG,AFG,18-59,353055
2010,AFG,AFG,5-11,257005
2010,AFG,AFG,60+,25355
2010,AFG,AFG,all,1676500
2010,AFG,ARE,0-4,5
2010,AFG,ARE,12-17,16
2010,AFG,ARE,18-59,0
2010,AFG,ARE,5-11,0
2010,AFG,ARE,60+,0
2010,AFG,ARE,all,42
2010,AFG,AUS,0-4,0
2010,AFG,AUS,12-17,0
2010,AFG,AUS,18-59,0
2010,AFG,AUS,5-11,0
2010,AFG,AUS,60+,0
2010,AFG,AUS,all,5586
2010,AFG,AUT,0-4,0
2010,AFG,AUT,12-17,0
2010,AFG,AUT,18-59,0
2010,AFG,AUT,5-11,0
2010,AFG,AUT,60+,0
2010,AFG,AUT,all,10055
2010,AFG,AZE,0-4,68
2010,AFG,AZE,12-17,73
2010,AFG,AZE,18-59,469
2010,AFG,AZE,5-11,87
2010,AFG,AZE,60+,21
2010,AFG,AZE,all,1436
2010,AFG,BEL,0-4,0
2010,AFG,BEL,12-17,0
2010,AFG,BEL,18-59,0
2010,AFG,BEL,5-11,0
2010,AFG,BEL,60+,0
2010,AFG,BEL,all,1002
2010,AFG,BGR,0-4,0
2010,AFG,BGR,12-17,0
2010,AFG,BGR,18-59,0
2010,AFG,BGR,5-11,0
2010,AFG,BGR,60+,0
2010,AFG,BGR,all,2508
2010,AFG,BIH,0-4,0
2010,AFG,BIH,12-17,5
2010,AFG,BIH,18-59,6
2010,AFG,BIH,5-11,0
2010,AFG,BIH,60+,0
2010,AFG,BIH,all,22
2010,AFG,BLR,0-4,38
2010,AFG,BLR,12-17,67
2010,AFG,BLR,18-59,291
2010,AFG,BLR,5-11,63
2010,AFG,BLR,60+,13
2010,AFG,BLR,all,944
2010,AFG,BRA,0-4,0
2010,AFG,BRA,12-17,7
2010,AFG,BRA,18-59,15
2010,AFG,BRA,5-11,0
2010,AFG,BRA,60+,0
2010,AFG,BRA,all,44
2010,AFG,CAN,0-4,57
2010,AFG,CAN,12-17,75
2010,AFG,CAN,18-59,356
2010,AFG,CAN,5-11,74
2010,AFG,CAN,60+,30
2010,AFG,CAN,all,3911
2010,AFG,CHE,0-4,169
2010,AFG,CHE,12-17,261
2010,AFG,CHE,18-59,1380
2010,AFG,CHE,5-11,242
2010,AFG,CHE,60+,48
2010,AFG,CHE,all,5704
2010,AFG,CHL,0-4,0
2010,AFG,CHL,12-17,0
2010,AFG,CHL,18-59,0
2010,AFG,CHL,5-11,0
2010,AFG,CHL,60+,0
2010,AFG,CHL,all,12
2010,AFG,CHN,0-4,0
2010,AFG,CHN,12-17,7
2010,AFG,CHN,18-59,0
2010,AFG,CHN,5-11,0
2010,AFG,CHN,60+,0
2010,AFG,CHN,all,14
2010,AFG,COL,0-4,0
2010,AFG,COL,12-17,0
2010,AFG,COL,18-59,5
2010,AFG,COL,5-11,0
2010,AFG,COL,60+,0
2010,AFG,COL,all,10
2010,AFG,CYM,0-4,0
2010,AFG,CYM,12-17,0
2010,AFG,CYM,18-59,5
2010,AFG,CYM,5-11,0
2010,AFG,CYM,60+,0
2010,AFG,CYM,all,10
2010,AFG,CYP,0-4,0
2010,AFG,CYP,12-17,0
2010,AFG,CYP,18-59,0
2010,AFG,CYP,5-11,0
2010,AFG,CYP,60+,0
2010,AFG,CYP,all,119
2010,AFG,CZE,0-4,0
2010,AFG,CZE,12-17,0
2010,AFG,CZE,18-59,0
2010,AFG,CZE,5-11,0
2010,AFG,CZE,60+,0
2010,AFG,CZE,all,238
2010,AFG,DEU,0-4,1179
2010,AFG,DEU,12-17,5272
2010,AFG,DEU,18-59,23608
2010,AFG,DEU,5-11,3197
2010,AFG,DEU,60+,4172
2010,AFG,DEU,all,75929
2010,AFG,DNK,0-4,0
2010,AFG,DNK,12-17,0
2010,AFG,DNK,18-59,0
2010,AFG,DNK,5-11,0
2010,AFG,DNK,60+,0
2010,AFG,DNK,all,5441
2010,AFG,ECU,0-4,5
2010,AFG,ECU,12-17,17
2010,AFG,ECU,18-59,106
2010,AFG,ECU,5-11,5
2010,AFG,ECU,60+,5
2010,AFG,ECU,all,276
2010,AFG,ESP,0-4,0
2010,AFG,ESP,12-17,0
2010,AFG,ESP,18-59,0
2010,AFG,ESP,5-11,0
2010,AFG,ESP,60+,0
2010,AFG,ESP,all,93
2010,AFG,EST,0-4,0
2010,AFG,EST,12-17,0
2010,AFG,EST,18-59,12
2010,AFG,EST,5-11,0
2010,AFG,EST,60+,0
2010,AFG,EST,all,24
2010,AFG,FIN,0-4,0
2010,AFG,FIN,12-17,0
2010,AFG,FIN,18-59,0
2010,AFG,FIN,5-11,0
2010,AFG,FIN,60+,0
2010,AFG,FIN,all,1042
2010,AFG,FJI,0-4,0
2010,AFG,FJI,12-17,0
2010,AFG,FJI,18-59,5
2010,AFG,FJI,5-11,0
2010,AFG,FJI,60+,0
2010,AFG,FJI,all,10
2010,AFG,FRA,0-4,0
2010,AFG,FRA,12-17,0
2010,AFG,FRA,18-59,0
2010,AFG,FRA,5-11,0
2010,AFG,FRA,60+,0
2010,AFG,FRA,all,3580
2010,AFG,GBR,0-4,0
2010,AFG,GBR,12-17,0
2010,AFG,GBR,18-59,0
2010,AFG,GBR,5-11,0
2010,AFG,GBR,60+,0
2010,AFG,GBR,all,23406
2010,AFG,GEO,0-4,0
2010,AFG,GEO,12-17,5
2010,AFG,GEO,18-59,0
2010,AFG,GEO,5-11,0
2010,AFG,GEO,60+,0
2010,AFG,GEO,all,10
2010,AFG,GRC,0-4,0
2010,AFG,GRC,12-17,0
2010,AFG,GRC,18-59,0
2010,AFG,GRC,5-11,0
2010,AFG,GRC,60+,0
2010,AFG,GRC,all,4648
2010,AFG,HKG,0-4,0
2010,AFG,HKG,12-17,0
2010,AFG,HKG,18-59,12
2010,AFG,HKG,5-11,0
2010,AFG,HKG,60+,0
2010,AFG,HKG,all,24
2010,AFG,HRV,0-4,0
2010,AFG,HRV,12-17,5
2010,AFG,HRV,18-59,11
2010,AFG,HRV,5-11,5
2010,AFG,HRV,60+,0
2010,AFG,HRV,all,42
2010,AFG,HUN,0-4,0
2010,AFG,HUN,12-17,0
2010,AFG,HUN,18-59,0
2010,AFG,HUN,5-11,0
2010,AFG,HUN,60+,0
2010,AFG,HUN,all,1821
2010,AFG,IDN,0-4,23
2010,AFG,IDN,12-17,234
2010,AFG,IDN,18-59,1142
2010,AFG,IDN,5-11,61
2010,AFG,IDN,60+,6
2010,AFG,IDN,all,2932
2010,AFG,IND,0-4,563
2010,AFG,IND,12-17,1312
2010,AFG,IND,18-59,5779
2010,AFG,IND,5-11,1043
2010,AFG,IND,60+,620
2010,AFG,IND,all,18634
2010,AFG,IRL,0-4,0
2010,AFG,IRL,12-17,0
2010,AFG,IRL,18-59,0
2010,AFG,IRL,5-11,0
2010,AFG,IRL,60+,0
2010,AFG,IRL,all,338
2010,AFG,IRN,0-4,0
2010,AFG,IRN,12-17,331
2010,AFG,IRN,18-59,971
2010,AFG,IRN,5-11,276
2010,AFG,IRN,60+,61
2010,AFG,IRN,all,1030855
